Attraction ID,Parent Site ID,Site Name (English),Name (English),Name (Localized),Description (English),Description (Localized),Location Guide (English) 'NULLABLE',Location Guide (Localized) 'NULLABLE',Type,Historical Periods (comma-separated),Latitude 'NULLABLE',Longitude 'NULLABLE',Is Featured?
ATTR-002,SITE-152,Cairo Citadel,National Military Museum,"المتحف الحربي","This museum is the first of its kind to be devoted to the history of the Egyptian military through the ages. The museum was first located in the building of the Ministry of Defense in Falaki in 1937, after which it was transferred to another building in the neighborhood of Garden City in 1938, before finally being transferred to al-Haram Palace in 1949 in the Cairo Citadel in 1949. This palace, built by Muhammad Ali Pasha in the 19th century, was renovated and reopened in 1993. Through a variety of items on display including artifacts, replicas, scale models, and dioramas, the museum displays the development of weapons and military equipment and costumes. It also puts the spotlight on the most important battles and military figures in Egyptian history. Also, the museum’s open-air area displays several real tanks and aircraft that were used in the October 1973 war.",خصص المتحف لعرض التاريخ الباسل للعسكرية المصرية عبر العصور، وهو يشغل حاليا ومنذ عام 1949 قصر الحرم الذي شيّده محمد علي باشا بقلعة صلاح الدين الأيوبي، بينما كان مقره بادئ الأمر عام 1937 بمبني وزارة الدفاع القديم بشارع الفلكي. يسلط المتحف الضوء على أهم الشخصيات العسكرية ويسجل أشهر المعارك التي خاضها الجندي المصري بشجاعة وعبقرية لا مثيل لهما. يتناول المتحف تاريخ تطور الأسلحة والمعدات الحربية، والملابس العسكرية باستخدام وسائل عرض متنوعة. كما يضم بالعرض الخارجي للمتحف نماذج حقيقية من الدبابات والطائرات التي استخدمت في حرب أكتوبر 1973.,,,MuseumHall,MuhammadAliDynasty,30.03073239,31.26237884,TRUE
ATTR-003,SITE-152,Cairo Citadel,National Police Museum,متحف الشرطة القومي,"The National Police Museum is one of the museums in the Salah al-Din Citadel, located in its northern section. Its exhibitions display the history of Egypt’s police force, each hall dedicated to a historical time period. One hall shows the police in ancient Egypt, another shows them during the Islamic period, and a third displays fire-fighting equipment. The museum also documents the most important battles, assassinations, and crimes during the modern period, in addition to the evolution of uniforms and weaponry. The museum houses fire trucks used in the eighteenth and nineteenth centuries in addition to several models that represent the Egyptian struggle against colonialism, which culminated in a battle that took place on January 25th, 1952 in al-Ismailiyya.
The museum is built above the lions tower which has been discovered during the construction of the museum. It named the lions tower due to the presence of lions carved on the top of tower, which indicates that it dates back to the region of al-Zahir Baybars as it was his emblem. it is only survived tower from the citadel which back to the Mamluk period.","متحف الشرطة القومي الموجود  هو أحد متاحف قلعة صلاح الدين الأيوبي بالقاهرة ويقع بالجزء الشمالي من القلعة  وهو يستعرض  جهود الشرطة المصرية ونضالها المتواصل على مر التاريخ. يضم المتحف مجموعة من القاعات خُصص كل منها لعرض تاريخ حقبة معينة من تاريخ الشرطة المصرية، حيث تم تخصيص قاعة تعرض تاريخ الشرطة في مصر القديمة، وقاعة أخرى تعرض تاريخ الشرطة المصرية في العصر الإسلامي، وقاعة تعرض أدوات رجال الإطفاء.

ويمكنك الاطلاع على تاريخ أهم المعارك، الاغتيالات السياسية، والجرائم الاجتماعية في العصر الحديث، وكذا نماذج تطور الأسلحة والملابس الخاصة برجال الشرطة كما يمكنك مشاهدة بعض عربات الإطفاء التي استخدمتها الشرطة خلال القرنين 18، 19م. يمكنك أيضًا الرجوع بالتاريخ لأهم المعارك التي خاضها رجال الشرطة المصرية من خلال التجول بين النماذج المجسمة التي تمثل كفاح الشرطة المصرية ضد الاستعمار في معركة 25 يناير 1952م بالإسماعيلية.

يرتكز المبنى على برج السباع الذي عثر عليه أثناء إنشاء المتحف، وجاءت تسمية هذا البرج لوجود نقوش بارزة لعدد من السباع في حالة قتال على الإطار العلوي للبرج، مما يرجح نسبته إلى الظاهر بيبرس، وهو البرج الوحيد الباقي من أبراج القلعة المملوكية حتى الآن.",,,MuseumHall,MuhammadAliDynasty,30.030667,31.260184,FALSE
ATTR-004,SITE-156,The Egyptian Museum,Menkaura triads,تمثال جماعي للملك منكاورع,"Group statue of king Menkaura. This sculpted group statue, shows King «Menkaure» between two ladies. The goddess «Hathor» is on his right and goddess (Bat), is on his left. He wears the crown of Upper Egypt (The white crown). Goddess «Hathor» wears her usual crown, composed of the sun disk between the two cow's horns, while the other lady is wearing the symbol of her nome.
Provenance: Giza, Valley Temple of Menkaure.
Date: Old Kingdom, Dynasty 4, Reign of Menkaure (ca. 2494-2472 BC).
Medium: Grey-green Schist.","تمثال جماعي من الشست للملك منكاورع، هذا التمثال الجماعي يظهر فيه الملك منكاورع واقفاً وبجانبه من الجانبين سيدتين وهما الإلهة حتحور يمين الملك وسيدة إقليم بات يسار الملك منكاورع. الملك هنا يرتدي التاج الأبيض، تاج مصر العليا، وترتدى حتحور تاج قرص الشمس وقرنين البقرة، بينما تضع سيدة إقليم بات فوق رأسها رمز إقليم بات.
المصدر: الجيزة، معبد الوادي الخاص بمنكاورع
التاريخ: عصر الدولة القديمة، الأسرة الرابعة، عهد الملك منكاورع (2490-2472 قبل الميلاد)
مادة الصنع: حجر الشست الرمادي المخضر",,,Statue,OldKingdom,30.04848584,31.23361411,TRUE
ATTR-005,SITE-152,Cairo Citadel,Muhammad Ali Mosque (Alabaster Mosque),مسجد محمد علي باشا (الجامع الكبير / مسجد الألباستر),"The Mosque of Muhammad Ali Pasha, known as the Alabaster Mosque for its extensive marble cladding, dominates the Cairo Citadel skyline. Built by Muhammad Ali Pasha between 1830 and 1848 AD on the site of Mamluk palaces, it follows the Turkish Ottoman style with a massive central dome, four semi-domes, twin pencil minarets soaring 84 meters — the tallest in Egypt — and a richly decorated interior. The outer courtyard features a copper clock tower gifted by France's King Louis Philippe in 1845.",مسجد محمد علي، المعروف بجامع الألباستر لكسوته الرخامية الشاملة، يُهيمن على أفق قلعة صلاح الدين. شُيِّد بين 1830 و1848م بأمر محمد علي باشا على أنقاض قصور مملوكية، ويتبع الطراز العثماني التركي بقبة مركزية ضخمة وأربع نصف قباب ومئذنتين قلميتين تبلغ كل منهما 84 متراً، وهما الأعلى في مصر. تضم الصحن الخارجي برج الساعة النحاسي هدية الملك لويس فيليب الفرنسي عام 1845م.,"Inside Cairo Citadel, Al-Qala'a Square, Al-Khalifa, Cairo Governorate",داخل قلعة صلاح الدين، ميدان القلعة، الخليفة، محافظة القاهرة,Mosque,MuhammadAliDynasty,30.0290709,31.25980129,TRUE
ATTR-006,SITE-152,Cairo Citadel,Mosque of Sulayman Pasha al-Khadim,مسجد سليمان باشا الخادم (جامع سراي الجبل),"The Mosque of Sulayman Pasha al-Khadim, built in 1528 AD on the ruins of a Fatimid mosque inside the Citadel, was the first Ottoman-style mosque built in Egypt. Named after Sulayman Pasha, governor of Egypt under Sultan Sulayman the Magnificent, it features a pencil-shaped minaret, a square prayer hall covered by a central dome surrounded by three half-domed iwans, and an exquisite marble pulpit with floral and geometric decorations. The northwestern portico contains an unusual domed mausoleum.",مسجد سليمان باشا الخادم، شُيِّد عام 1528م على أنقاض مسجد فاطمي داخل القلعة، ويُعدّ أول مسجد عثماني الطراز يُبنى في مصر. يتميز بمئذنته القلمية وقاعة صلاته المربعة المغطاة بقبة مركزية تحيط بها ثلاثة إيوانات مقببة، ومنبر رخامي بديع بزخارف نباتية وهندسية. يحتوي الرواق الشمالي الغربي على قبة ضريح نادر.,"Inside Cairo Citadel, Al-Qala'a Square, Al-Khalifa, Cairo Governorate",داخل قلعة صلاح الدين، ميدان القلعة، الخليفة، محافظة القاهرة,Mosque,MuhammadAliDynasty,30.0311943,31.26434861,FALSE
ATTR-007,SITE-152,Cairo Citadel,Sultan al-Nasir Muhammad Mosque (Citadel),مسجد السلطان الناصر محمد بن قلاوون (داخل القلعة),"The Mosque of Sultan al-Nasir Muhammad ibn Qalawun inside the Cairo Citadel is a masterpiece of early Mamluk architecture, originally constructed between 1318 and 1335 AD. It became the chief mosque of the Citadel and Egypt's royal mosque. Renowned for its two minarets with Gothic-inspired carvings taken from crusader churches, its octagonal base decorated with faience tiles, and its hypostyle prayer hall with columns from ancient Egyptian and Roman temples, the mosque was stripped of much of its marble decoration by the Ottomans.",مسجد السلطان الناصر محمد بن قلاوون داخل القلعة تحفة معمارية مملوكية مبكرة شُيِّدت بين 1318 و1335م، وأصبح جامع القلعة الرئيسي وجامع مصر الملكي. يشتهر بمئذنتين ذواتا نقوش قوطية مستوحاة من كنائس صليبية وقاعدتيهما الثمانية المزخرفة بالقيشاني وصحنه الطولي ذا أعمدة مأخوذة من معابد مصرية رومانية قديمة.,"Inside Cairo Citadel, Al-Qala'a Square, Al-Khalifa, Cairo Governorate",داخل قلعة صلاح الدين، ميدان القلعة، الخليفة، محافظة القاهرة,Mosque,MuhammadAliDynasty,30.02930023,31.26072126,FALSE
ATTR-008,SITE-152,Cairo Citadel,Joseph's Well (Bir Yusuf),بئر يوسف (البئر الحلزونية),"Joseph's Well, commissioned by Sultan Salah al-Din al-Ayyubi and named after him (Yusuf being his personal name), was dug into the Muqattam rock from 1176 to 1193 AD to supply the Citadel with water during sieges. The well descends about 90 meters through two floors, each fitted with a water wheel driven by cattle. A spiral staircase winds around the shaft, and apertures in the walls provided lighting and ventilation. It was an essential strategic feature of the Citadel's defensive design.",بئر يوسف، حفرت بأمر السلطان صلاح الدين الأيوبي (الذي يُدعى بالاسم الشخصي يوسف) في صخر المقطم من 1176 إلى 1193م لتزويد القلعة بالمياه في أوقات الحصار. تهبط البئر نحو 90 متراً عبر طابقين، في كل منهما ساقية تُدار بالثيران، وتلتف حولها سلالم لولبية، وتُنيرها وتُهويها فتحات في الجدران. تُعدّ من أبرز العناصر الاستراتيجية الدفاعية في القلعة.,"Inside Cairo Citadel, Al-Qala'a Square, Al-Khalifa, Cairo Governorate",داخل قلعة صلاح الدين، ميدان القلعة، الخليفة، محافظة القاهرة,Well,MuhammadAliDynasty,30.02999816,31.26247847,FALSE
ATTR-009,SITE-152,Cairo Citadel,Citadel Prison Museum,متحف سجن القلعة,"The Citadel Prison Museum preserves one of Egypt's most historically significant detention facilities, originally expanded by Khedive Ismail after he relocated the seat of government to Abdeen Palace in 1874 AD. The prison held many of Egypt's most prominent political and public figures during the 20th century. The museum consists of a 50-meter passageway with cells and interrogation rooms recreated using wax statues, including the notorious 'Rings Room' designed by a French engineer in 1932 after the model of the French Bastille prison.",متحف سجن القلعة يحفظ ذاكرة واحدة من أبرز مرافق الاحتجاز في تاريخ مصر. وسّعه الخديوي إسماعيل بعد نقله مقر الحكومة إلى قصر عابدين عام 1874م. اعتُقل فيه كثير من أبرز الشخصيات السياسية والعامة في القرن العشرين. يضم المتحف ممرًا بطول 50 متراً بزنازين وغرف استجواب مُجسَّدة بتماثيل شمعية، من بينها غرفة 'الحلقات' المصممة على غرار سجن الباستيل الفرنسي.,"Inside Cairo Citadel, Al-Qala'a Square, Al-Khalifa, Cairo Governorate",داخل قلعة صلاح الدين، ميدان القلعة، الخليفة، محافظة القاهرة,MuseumHall,MuhammadAliDynasty,30.03006437,31.26026739,TRUE
ATTR-010,SITE-151,Al-Mu'izz Street,Madrasa of Sultan al-Ashraf Barsbay,مدرسة السلطان الأشرف برسباي,"The Mamluk Sultan al-Ashraf Sayf al-Din Barsbay established this madrasa in 1425 AD on Al-Mu'izz Street. It taught all four schools of Islamic jurisprudence and Sufism, and also functioned as a mosque. The madrasa follows the classic cruciform layout — a rectangular area with an open central courtyard surrounded by four iwans, the largest being the qibla iwan. A text band inscribed with the full endowment deed runs along the interior wall. A mausoleum was attached in the northeast corner next to the qibla iwan.",أنشأ السلطان المملوكي الأشرف سيف الدين برسباي هذه المدرسة عام 1425م في شارع المعز، وكانت تدرّس المذاهب الفقهية الأربعة والتصوف وتُؤدي وظيفة الجامع أيضاً. تتبع المخطط الصليبي المعتاد بمستطيل ذي صحن مفتوح يحيط به أربعة إيوانات. يجري على طول جدارها الداخلي شريط نقشي بنص وثيقة الوقف كاملاً، والقبة الملحقة في الزاوية الشمالية الشرقية بجوار إيوان القبلة.,"Al-Mu'izz Street, Al-Gamaliya, Cairo Governorate",شارع المعز، الجمالية، محافظة القاهرة,Mosque,MuhammadAliDynasty,30.04752362,31.2600361,TRUE
ATTR-011,SITE-151,Al-Mu'izz Street,Mosque and Sabil-Kuttab of Shaykh Ali al-Mutahhar,مسجد وسبيل وكتاب الشيخ علي المطهر,"This mosque complex on Al-Mu'izz Street was established in 1744 AD by Prince Abd al-Rahman Katkhuda as a mosque, sabil, and kuttab, on the site of the former Suyufiyya Madrasa of Sultan Salah al-Din al-Ayyubi. It became known as the mosque of al-Mutahhar due to the mausoleum of Shaykh Ali al-Mutahhar inside. The mosque features a rectangular prayer area with three arcades, a wooden shokhsikha (skylight dome), a mihrab decorated with marble mosaic, a wooden minbar with geometric decorations, and a marble cenotaph of Abd al-Rahman Katkhuda's mother.",هذا المجمع في شارع المعز أنشأه الأمير عبد الرحمن كتخدا عام 1744م جامعاً وسبيلاً وكتاباً على موضع المدرسة السيوفية التي أسسها السلطان صلاح الدين الأيوبي. سُمِّي بجامع المطهر نسبةً للضريح الذي ينسب إلى الشيخ علي المطهر في داخله. يتميز بمساحة صلاته المستطيلة ذات الأروقة الثلاثة وشخشيخة خشبية ومحراب بفسيفساء رخامية ومنبر خشبي بزخارف هندسية.,"Al-Mu'izz Street, Al-Gamaliya, Cairo Governorate",شارع المعز، الجمالية، محافظة القاهرة,Mosque,MuhammadAliDynasty,30.04778187,31.26041048,FALSE
