Site ID,Parent City ID,City Name (English),Name (English),Name (Localized),Description (English),Description (Localized),Address (English),Address (Localized),Status,Type,Latitude,Longitude,Entry Fee 'NULLABLE',Entry Fee Note (English) 'NULLABLE',Entry Fee Note (Localized) 'NULLABLE',Is Free?,Estimated Duration Minutes,Website URL 'NULLABLE',Contact Phone 'NULLABLE',Is Featured?,Is Hidden Gem?,Facilities (comma-separated),By
SITE-001,CITY-002,Giza,Pyramids of Giza,أهرامات الجيزة,"The pyramids of Giza and the Great Sphinx are among the most popular tourist destinations in the world, and indeed already were even in Roman times. Each of these spectacular structures served as the final resting place of a king of the 4th Dynasty (c.2613–2494 BC). The Great Pyramid of Giza was built for king Khufu (c.2589–2566 BC), and the other two for Khafre and Menkaure, his son and grandson. Khufu’s pyramid is both the oldest and largest of the three, and the first building to exceed it in height would not be built for another 3,800 years!
Although the three pyramids dominate the plateau, they are in fact surrounded by many other monuments. Every king’s pyramid was just one element albeit the most important of a larger complex that included smaller, subsidiary, queens’ pyramids; an additional one that acted as a second, symbolic, tomb for the king, called a satellite pyramid; mastaba tombs for nobility and other family members; burials of actual and/or symbolic boats; and a pair of temples linked by a richly decorated causeway. One of these temples, called the valley temple, led into the pyramid complex, and was located on or near a body of water where boats could dock. The other, the funerary (or upper) temple, stood near the base of the pyramid. Priests maintained the mortuary cult of the deceased king in these temples, where his divine aspect was worshiped, and where rich and diverse offerings were presented to his soul so he could have a peaceful and luxurious afterlife.","تعد هضبة الجيزة من بين أشهر المواقع السياحية منذ العصور القديمة وحتى اليوم. وتضم تلك الهضبة مقابر ملوك الأسرة الرابعة (حوالي2613- 2494ق.م) وهي أهرام كل من خوفو (حوالي2589-2566 ق.م) وابنه خفرع وحفيده منكاورع بالإضافة إلى تمثال أبو الهول الشهير. ويعد هرم خوفو هو الأكبر والأقدم بين تلك الأهرام والأطول في العالم طيلة 3800 عام.
ويحيط بتلك الأهرامات العظيمة آثارًا أخرى، حيث كان لكل هرم مجموعة هرمية بالإضافة إلى أهرام الملكات والهريم الصغير الجانبي الذي كان هرمًا رمزيًا للملك، وكذلك كانت هناك مصاطب خصصت لدفن كبار الشخصيات وأفراد العائلة الملكية، ومراكب خوفو المعروفة باسم مراكب الشمس. وكانت المجموعة الهرمية لكل ملك تتضمن معبدين أحدها هو معبد الوادي ومنه طريق صاعد جوانبه مزخرفة  يؤدي إلى معبد علوي والمعروف باسم المعبد الجنائزي المتاخم للهرم. وكان الكهنة يقومون بطقوس الدفن والجنازة الخاصة بالملك المتوفى داخل تلك المعابد حيث يتحول إلى معبود وتقدم القرابين الثرية لروحه كي ينعم بالسلام في العالم الآخر.","Al Haram, Giza",الهرم، الجيزة,Active,Archaeological,29.97785012,31.13251906,"700,60","This ticket does not cover the Great Pyramid, Pyramid of Khafre, Pyramid of Menkaure, Tomb of Meresankh III, and Worker's Cemetery.",هذه التذكرة لا تشمل الهرم الأكبر، هرم خفرع، هرم منقرع، مقبرة مرس عنخ الثالث، وجبانة العمال.,FALSE,360,https://egymonuments.gov.eg/archaeological-sites/giza-plateau/,NULL,TRUE,FALSE,"Restrooms, Parking, CafeteriaOrRestaurant",Bassel
SITE-002,CITY-008,Sinai ,Saint Catherine's Monastery,دير سانت كاترين,"The world's oldest active monastery, built by Emperor Justinian in the 6th century. Experience a unique spiritual journey among rare manuscripts and Byzantine icons. Tip: Arrive before noon as the monastery closes to visitors early in the day.",أقدم دير مسيحي في العالم لا يزال يستخدم حتى الآن، ويعد موقعاً للتراث العالمي لليونسكويُعد أقدم دير عامل في العالم وبُني بأمر من الإمبراطور جستنيان في القرن السادس. ستعيش تجربة روحانية فريدة وسط المخطوطات النادرة والأيقونات البيزنطية. نصيحة: احرص على زيارته قبل الظهر لأن الدير يغلق أبوابه أمام الزوار في وقت مبكر.,"Main St. Catherine Road, Next to Mount Sinai, St. Catherine City, South Sinai.",كاترين - منطقة محمية سانت كاترين - سيناء,Active,Religious,28.55560903,33.97703826,Null,,,TRUE,120,sinaimonastery.com,069-3470353,TRUE,FALSE,,Yara
SITE-003,CITY-008,Sinai ,Ras Mohammed National Park,محمية رأس محمد,"Egypt's first national park, famous for world-class coral reefs.dating back millions of years. Enjoy swimming in the Magic Lake and exploring rare mangrove forests. Tip: Bring your own snorkeling gear to fully enjoy the underwater beauty without restriction",أول محمية طبيعية في مصر، تقع عند التقاء خليجي السويس والعقبة، وتشتهر بشعابها المرجانية العالميةوتشتهر بشعابها المرجانية التي تعود لملايين السنين. يمكنك الاستمتاع بالسباحة في البحيرة المسحورة ومشاهدة أشجار المانغروف النادرة. نصيحة: لا تنسَ إحضار معدات السنوركلينج الخاصة بك للاستمتاع بالحياة البحرية دون عوائق.,"End of El-Salam Road (South), Meeting point of Suez & Aqaba Gulfs, Sharm El Sheikh.",نهاية طريق السلام - شرم الشيخ - سيناء,Active,Natural,27.79403382,34.17813152,"5$,25",,,FALSE,240,https://www.eeaa.gov.eg/Topics/85/36/65/Details,693660559,TRUE,FALSE,,Yara
SITE-004,CITY-008,Sinai ,Salah El-Din Castle,قلعة صلاح الدين - طابا,An Islamic fortress built in 1170 AD to protect Egypt's borders and pilgrim routes. Enjoy a short boat trip to the island and a panoramic view overlooking 4 countries. Tip: Ensure your camera is fully charged; the view from the fortress walls is truly unique.,قلعة إسلامية تاريخية تقع على جزيرة فرعون، كانت تستخدم لحماية طرق الحجاج والتجارة.," Nuweibaa - Taba Rd, Nuweiba",جزيرة فرعون - مياه خليج العقبة - 8 كم جنوب مدينة طابا - جنوب سيناء.,Active,Historical,29.54026696,34.83151431,"550,60",,,FALSE,120,Null,Null,FALSE,FALSE,,Yara
SITE-005,CITY-008,Sinai ,The Blue Hole,البلو هول - دهب,"One of the most famous diving spots in the world, a submarine sinkhole that offers breathtaking coral reefs and crystal-clear waters.A deep natural submarine sinkhole, ranked as one of the most dangerous yet beautiful diving spots worldwide. It offers an adrenaline rush alongside indescribable coral colors. Tip: Even for skilled swimmers, wearing a life jacket and following local instructor guides is highly recommended.",من أشهر مناطق الغوص في العالم، وهي عبارة عن حفرة غوص عميقة جداً داخل البحر الأحمر تتميز بجمال مرجانها وصفاء مياهها.,"Abu Galum Protected Area, 10 km North of Dahab Coastal Road, Dahab, South Sinai.",طريق البلو هول - مدينة دهب - سيناء.,Active,Natural,28.57459547,28.57459547,"10$,25",,,FALSE,180,Null,Null,TRUE,FALSE,,Yara
SITE-006,CITY-008,Sinai ,Mount Sinai,جبل موسى,"The historic site where Prophet Moses received the Ten Commandments, a global religious landmark. Experience a thrilling climb to witness the most beautiful sunrise of your life. Tip: Start your hike at midnight to reach the summit by dawn, and wear very warm clothing.",الموقع التاريخي الذي تلقى فيه النبي موسى الوصايا العشر، وهو مقصد ديني عالمي. ستخوض تجربة صعود ممتعة وسط سلاسل الجبال الشاهقة لمشاهدة أجمل شروق شمس في حياتك. نصيحة: ابدأ الرحلة في منتصف الليل لتصل للقمة وقت الشروق، وارتدِ ملابس ثقيلة جداً.,"St. Catherine Protectorate, Behind the Monastery, St. Catherine City, South Sinai.",منطقة محمية سانت كاترين - خلف الدير - مدينة سانت كاترين - جنوب سيناء.,Active,Religious,28.53934716,33.97492246,Null,,,TRUE,360,https://egymonuments.gov.eg/,Null,TRUE,FALSE,,Yara
SITE-007,CITY-008,Sinai ,Moses Springs,عيون موسى,"A historical site featuring natural sulfur springs, believed to be the wells that gushed for Prophet Moses. It serves as a historical and therapeutic tourist attraction.Home to 12 natural springs, linked to the biblical story of the Exodus. The site is perfect for relaxation and learning about Sinai’s religious history amidst palm groves. Tip: It is best visited as a quick tourist stop on your way to or from Sharm El Sheikh.",منطقة عيون طبيعية كبريتية تاريخية، يعتقد أنها العيون التي انفجرت للنبي موسى وبني إسرائيل، وتعتبر مزاراً سياحياً وعلاجياً تضم 12 عيناً للمياه، وترجع قصتها التاريخية لرحلة خروج بني إسرائيل مع النبي موسى. المكان مثالي للاستجمام والتعرف على التاريخ الديني للسيناء وسط أشجار النخيل. نصيحة: يفضل زيارتها في طريقك من أو إلى شرم الشيخ كاستراحة سياحية سريعة..,"Saint Catherine, South Sinai Governorate 8730062",طريق النفق - عيون موسى - رأس سدر - سيناء.,Active,Therapeutic,29.87825765,32.65938699,Null,,,TRUE,60,Null,Null,FALSE,FALSE,,Yara
SITE-008,CITY-008,Sinai ,Colored Canyon,الأخدود الملون,"A breathtaking natural rock formation created by mineral deposits over thousands of years. Experience a thrilling hike between narrow walls glowing with rainbow colors. Tip: Wear comfortable sports shoes as the rocky, uneven terrain requires a lot of walking.","تشكيل صخري طبيعي مذهل نتج عن ترسبات الأملاح والمعادن عبر آلاف السنين. ستعيش تجربة ""هايكنج"" مثيرة بين جدران ضيقة تلمع بألوان قوس قزح. نصيحة: ارتدِ أحذية رياضية مريحة لأن الأرضية صخرية وغير مستوية وتتطلب الكثير من المشي.","Mountainous Area 90 km North of Dahab, Nuweiba-St. Catherine Road, South Sinai.",- طريق نويبع/سانت كاترين - جنوب سيناء.,Active,Natural,28.71354474,34.24431771,"16,1",,,FALSE,150,Null,503996873,FALSE,TRUE,,Yara
SITE-009,CITY-008,Sinai ,Nabq Protected Area,محمية نبق,"A unique protected area blending mountain, desert, and marine environments, featuring the northernmost mangrove forest. Ideal for camping in pristine nature and birdwatching. Tip: Booking a 4x4 safari trip is recommended to fully explore the hidden gems within the reserve.",منطقة محمية فريدة تجمع بين البيئة الجبلية والصحراوية والبحرية، وبها أبعد غابة مانغروف في الشمال. يمكنك التخييم وسط الطبيعة البكر ومشاهدة أنواع نادرة من الطيور المهاجرة. نصيحة: يفضل حجز رحلة بسيارات الدفع الرباعي (4x4) لاستكشاف خفايا المحمية بشكل كامل.,"Coastal area between Sharm & Dahab, Entrance from El-Salam Road, Sharm El Sheikh.",المنطقة الساحلية بين شرم الشيخ ودهب - مدخل المحمية من طريق السلام - شرم الشيخ.,Active,Natural,28.12092127,34.44187582,"5$,25",,,FALSE,180,https://www.eeaa.gov.eg/Topics/85/36/65/Details,693660559,FALSE,TRUE,,Yara
SITE-010,CITY-008,Sinai ,Tiran Island,جزيرة تيران,"A strategic island at the Straits of Tiran, a significant spot in modern maritime history. Experience a full-day boat trip with snorkeling stops in the clearest waters imaginable. Tip: Book through a certified tour operator to ensure quality meals and safety equipment on board.",جزيرة استراتيجية عند مدخل مضيق تيران، كانت دائماً نقطة هامة في التاريخ البحري المعاصر. التجربة هناك عبارة عن يوم كامل على المركب مع وقفات للسنوركلينج في أصفى مياه ممكن تشوفها. نصيحة: احجز رحلتك مع شركة سياحة معتمدة لضمان جودة الوجبات ومعدات السلامة على المركب.,"Entrance of the Straits of Tiran, Accessible via boat from Sharm El Sheikh Marinas.",مدخل مضيق تيران - البحر الأحمر - الوصول إليها عبر المراكب السياحية من مارينا شرم الشيخ.,Active,Natural,27.93345238,34.59499159,Null,,,FALSE,360,Null,Null,FALSE,FALSE,,Yara
