Transport ID,Parent Site ID,Site Name,Transport Name (English),Transport Name (Localized),Description (English) 'NULLABLE',Description (Localized) 'NULLABLE',Transport Type,Address / Location Info (English) 'NULLABLE',Address / Location Info (Localized) 'NULLABLE',Latitude,Longitude,Distance to Site (Km),Is Operational?,Has Accessibility?,Operating Hours 'NULLABLE'
TRANS-001,SITE-001,Pyramids of Giza,Giza Metro Station,محطة مترو الجيزة,,,Metro,Main Giza Square,ميدان الجيزة الرئيسي,30.01063821,31.20706444,8.5,TRUE,FALSE,05:00-00:00
TRANS-002,SITE-021,Castle Zaman,Nuweiba Bus Station,موقف أتوبيسات نويبع/طابا,"From the station, take a private taxi for about 15 minutes to reach Castle Zaman.",النزول أمام بوابة القلعة مباشرة على الطريق السريع.من الموقف، يتم استقلال تاكسي خاص لمدة 15 دقيقة للوصول لقلعة زمان.,Bus,"Taba-Nuweiba Road, Nuweiba.",طريق طابا - نويبع الدولي، نويبع.,28.9975,34.6515,10,TRUE,TRUE,06:00-22:00
TRANS-003,SITE-032,Saint Eugenie Church,Al Shohadaa Square Stop,موقف ميدان الشهداء,"Drop off at the square, then walk for 5 minutes or take a short taxi ride to the church.",النزول في الميدان، ثم المشي 5 دقائق أو أخذ تاكسي لمسافة قصيرة للكنيسة.,Bus,"Al Gomhouria St, Port Said.",شارع الجمهورية، بورسعيد.,31.2597,32.2986,1.2,TRUE,FALSE,05:00-00:00
TRANS-004,SITE-061,Saint Shenouda Coptic Orthodox Church,Al Dahar Square,ميدان الدهار,"From the square, you can take a local taxi (5 mins) to reach St. Shenouda Church.",من الميدان، يمكن أخذ تاكسي محلي (5 دقائق) للوصول لكنيسة الأنبا شنودة.,Bus,"Al Dahar District, Hurghada.",منطقة الدهار، الغردقة.,27.258,33.812,1.5,TRUE,FALSE,05:00-01:00
TRANS-005,SITE-017,Soho Square,Shark's Bay Bus Stop,محطة أتوبيسات خليج القرش,"From here, take a private taxi or the hotel's Shuttle Bus directly to SOHO Square.",من هنا، يتم أخذ تاكسي خاص أو Shuttle Bus الفندق لميدان سوهو مباشرة.,Bus,"Sheikh Zayed Road, Sharm El Sheikh.",طريق الشيخ زايد، شرم الشيخ.,27.9625,34.3917,2,TRUE,FALSE,06:00-00:00
TRANS-006,SITE-022,Wishwashi Canyon,Nuweiba Port Area,منطقة ميناء نويبع,"From the station, you must coordinate with a tour company to take a 4x4 car to reach the valley.",من الموقف يجب التنسيق مع شركة سياحة لاستقلال سيارة 4x4 للوصول للوادي.,Bus,"Port Entrance Road, Nuweiba.",طريق طابا - نويبع الدولي، نويبع.,34.65,28.997,15,TRUE,FALSE,07:00-17:00
TRANS-007,SITE-008,Colored Canyon,Nuweiba Bus Station,موقف أتوبيس نويبع,"From the station, you must take a 4x4 safari car with a local guide to reach the Canyon.",من الموقف، يجب استقلال سيارة دفع رباعي (4x4) مع دليل بدوي للوصول للأخدود.,Bus,"Main Nuweiba Road, near the port.",طريق نويبع الرئيسي، بالقرب من الميناء.,28.9975,34.6515,25,TRUE,FALSE,06:00-22:00
TRANS-008,SITE-051,El Mina Masjid,Sakkala Square,ميدان السقالة,The mosque is 500 meters away; you can walk or take a taxi in one minute.,المسجد يقع على بعد 500 متر؛ يمكن المشي أو أخذ تاكسي في دقيقة واحدة.,Bus,"Sheraton Road, Hurghada.",شارع شيراتون، الغردقة.,27.227,33.842,0.8,TRUE,TRUE,05:00-02:00
TRANS-009,SITE-086,The White Monastery,Sohag Public Station,موقف سوهاج العام,"From the station, take a private taxi for 5 km westward to reach the White Monastery.",من الموقف، يتم استقلال تاكسي خاص لمسافة 5 كم غرباً للوصول للدير الأبيض.,Bus,"West Sohag Road, Sohag City.",طريق سوهاج الغربي، مدينة سوهاج.,26.545,31.625,6,TRUE,TRUE,06:00-21:00
TRANS-010,SITE-006,Mount Sinai,St. Catherine Office,مكتب سانت كاترين,"From the office, take a local taxi to reach the Monastery parking, then start the hike to the summit.",من المكتب، استقل تاكسي محلي للوصول لباركينج الدير، ثم ابدأ رحلة الصعود للقمة.,Taxi,"St. Catherine Town Center, Sinai.",مركز مدينة سانت كاترين، سيناء.,28.556,33.945,3.5,TRUE,FALSE,06:00-20:00
