Sponsor ID,Title (English),Title (Localized),Description (English),Description (Localized),Address (English),Address (Localized),Status,Type,Tier,Latitude,Longitude,Start Date,End Date,Website URL 'NULLABLE',Contact Phone 'NULLABLE',Contact Email 'NULLABLE'
SPON-001,Koshary Abou Tarek,كشري أبو طارق,"Cairo's most iconic koshary restaurant, serving Egypt's beloved national dish since 1950. A must-visit downtown landmark loved by locals and tourists alike.",أشهر مطعم كشري في القاهرة، يقدم الطبق الوطني المحبوب منذ عام 1950. وجهة لا غنى عنها في وسط البلد يحبها المصريون والسياح على حدٍّ سواء.,"16 Maarouf St., Intersection of Champollion St., Downtown, Cairo",16 شارع معروف، تقاطع شارع شامبليون، وسط البلد، القاهرة,Active,Restaurant,Bronze,30.04755,31.23595,01/06/2026,31/12/2026,https://www.memphistours.com,20225761911,
SPON-002,Felfela Restaurant,مطعم فلفلة,"A legendary downtown Cairo restaurant established in 1959, beloved for authentic Egyptian and Mediterranean cuisine in a uniquely decorated setting near Tahrir Square.",مطعم أسطوري في وسط القاهرة تأسس عام 1959، يشتهر بالمأكولات المصرية والمتوسطية الأصيلة في ديكور فريد قريب من ميدان التحرير.,"15 Talaat Harb St., Downtown, Cairo",15 شارع طلعت حرب، وسط البلد، القاهرة,Active,Restaurant,Silver,30.04742,31.23443,01/06/2026,31/12/2026,http://www.felfela.com,20223900784,
SPON-003,Abou El Sid Restaurant,مطعم أبو السيد,An upscale Egyptian restaurant in the heart of Zamalek offering a classic 1930s Cairene atmosphere and traditional dishes like Circassian chicken and pigeon.,مطعم مصري راقٍ في قلب الزمالك يقدم أجواء القاهرة الكلاسيكية من ثلاثينيات القرن الماضي وأطباقاً تقليدية كالدجاج الشركسي والحمام.,"157, 26th of July St., beside Diwan Bookstore, Zamalek, Cairo",157 شارع 26 يوليو، بجوار مكتبة ديوان، الزمالك، القاهرة,Active,Restaurant,Gold,30.05945,31.22412,01/06/2026,31/12/2026,http://www.abouelsid.com,20227359640,
SPON-004,Zooba,زوبا,"A celebrated Egyptian street food restaurant reinventing classic local dishes with fresh ingredients. Located in Zamalek, it is a favourite among both locals and international visitors.",مطعم شهير للأكل الشعبي المصري يُعيد ابتكار الأطباق المحلية الكلاسيكية بمكونات طازجة. يقع في الزمالك ويُعدّ وجهة مفضلة للمصريين والزوار الأجانب.,"16, 26th of July St., Intersection of Shagaret El Dor, Zamalek, Cairo",16 شارع 26 يوليو، تقاطع شارع شجرة الدر، الزمالك، القاهرة,Active,Restaurant,Silver,30.06055,31.2218,01/06/2026,31/12/2026,,2016082,
SPON-005,Cairo Marriott Hotel,فندق ماريوت القاهرة,"A historic 5-star palace hotel on Zamalek Island built around the 1869 Gezira Palace. Offers luxury rooms with Nile views, world-class dining, and over 19 event venues.",فندق قصر تاريخي خمس نجوم في جزيرة الزمالك، مبني حول قصر الجزيرة عام 1869. يوفر غرفاً فاخرة بإطلالات على النيل ومطاعم عالمية المستوى وأكثر من 19 قاعة فعاليات.,"16 Saray El Gezira St., Zamalek, Cairo",16 شارع سراي الجزيرة، الزمالك، القاهرة,Active,Hotel,Platinum,30.0617,31.2211,01/06/2026,31/12/2026,https://www.cairomarriotthotel.com,20227283000,CairoMarriottReservation@marriott.com
SPON-006,Sofitel Cairo Nile El Gezirah,سوفيتيل القاهرة نايل الجزيرة,"A luxury 5-star hotel on Gezirah Island offering panoramic Nile views and 433 rooms blending Pharaonic, Arabian, and French art deco design. One of Cairo's most iconic landmarks.",فندق فاخر خمس نجوم في جزيرة الجزيرة يوفر إطلالات بانورامية على النيل و433 غرفة تمزج بين التصميم الفرعوني والعربي وآر ديكو الفرنسي. أحد أبرز معالم القاهرة.,"3 El Thawra Council St., Zamalek, Cairo",3 شارع مجلس الثورة، الزمالك، القاهرة,Active,Hotel,Platinum,30.03911,31.22012,01/06/2026,31/12/2026,https://www.sofitel-cairo-nile-elgezirah.com,20227373737,reservations.cairo@sofitel.com
SPON-007,Kempinski Nile Hotel,فندق كمبينسكي النيل,A sleek modern 5-star hotel in Garden City with breathtaking views of the Nile and the Cairo skyline. Centrally located near Tahrir Square and the Egyptian Museum.,فندق عصري أنيق خمس نجوم في جاردن سيتي بإطلالات خلابة على النيل وأفق القاهرة. يقع في موقع مركزي قريب من ميدان التحرير والمتحف المصري.,"12 Ahmed Ragheb St., Garden City, Cairo",12 شارع أحمد راغب، جاردن سيتي، القاهرة,Active,Hotel,Gold,30.0362,31.2286,01/06/2026,31/12/2026,https://www.kempinski.com/cairo,20227980000,reservations.cairo@kempinski.com
SPON-008,Memphis Tours,ممفيس تورز,"One of Egypt's top-rated tour operators, licensed since 1955 and holding Ministry of Tourism Category A status. Offers guided tours to all major Cairo and Egypt attractions.",إحدى أبرز شركات السياحة في مصر، مرخصة منذ 1955 وتحمل تصنيف الفئة أ من وزارة السياحة. تقدم جولات مصحوبة بمرشدين إلى جميع المعالم السياحية الرئيسية في القاهرة ومصر.,"24 Mourad St., Giza Square, Cairo",24 شارع مراد، ميدان الجيزة، القاهرة,Active,TravelAgency,Gold,30.0052,31.2089,01/06/2026,31/12/2026,https://www.memphistours.com,20235716050,egypt@memphistours.com
SPON-009,El Fishawy Café,مقهى الفيشاوي,"Cairo's oldest café, open continuously since 1797 in the heart of Khan El Khalili bazaar. A legendary cultural institution serving traditional tea, coffee, and shisha.",أقدم مقهى في القاهرة، يعمل باستمرار منذ عام 1797 في قلب خان الخليلي. مؤسسة ثقافية أسطورية تقدم الشاي والقهوة التقليدية والشيشة.,"Khan El Khalili Bazaar, Al-Hussein, Cairo",سوق خان الخليلي، الحسين، القاهرة,Active,Cafe,Silver,30.04808,31.26257,01/06/2026,31/12/2026,,20223900784,
SPON-010,Café Riche,كافيه ريش,"A historic café-bar in Downtown Cairo with a nostalgic 1908 atmosphere, famous for light Egyptian snacks, coffee, and its role as a meeting place for intellectuals and artists.",مقهى وبار تاريخي في وسط القاهرة بأجواء حنينية من عام 1908، يشتهر بالوجبات الخفيفة المصرية والقهوة، وتاريخه كملتقى للمثقفين والفنانين.,"17 Talaat Harb St., Downtown, Cairo",17 شارع طلعت حرب، وسط البلد، القاهرة,Active,Cafe,Bronze,30.0476,31.2351,01/06/2026,31/12/2026,,20223921012,
